"","Obs.","Crit."
"1-2","\textbf{243}","\textbf{113}"
"1-3","\textbf{123}","\textbf{113}"
"1-4","\textbf{490}","\textbf{113}"
"1-5","\textbf{366}","\textbf{113}"
"1-6","\textbf{764}","\textbf{113}"
"1-7","\textbf{608}","\textbf{113}"
"1-8","\textbf{822}","\textbf{113}"
"2-3","\textbf{120}","\textbf{113}"
"2-4","\textbf{247}","\textbf{113}"
"2-5","\textbf{123}","\textbf{113}"
"2-6","\textbf{521}","\textbf{113}"
"2-7","\textbf{365}","\textbf{113}"
"2-8","\textbf{579}","\textbf{113}"
"3-4","\textbf{367}","\textbf{113}"
"3-5","\textbf{243}","\textbf{113}"
"3-6","\textbf{641}","\textbf{113}"
"3-7","\textbf{485}","\textbf{113}"
"3-8","\textbf{699}","\textbf{113}"
"4-5","\textbf{124}","\textbf{113}"
"4-6","\textbf{274}","\textbf{113}"
"4-7","\textbf{118}","\textbf{113}"
"4-8","\textbf{332}","\textbf{113}"
"5-6","\textbf{398}","\textbf{113}"
"5-7","\textbf{242}","\textbf{113}"
"5-8","\textbf{456}","\textbf{113}"
"6-7","\textbf{156}","\textbf{113}"
"6-8","58","113"
"7-8","\textbf{214}","\textbf{113}"
