"","obs.dif","critical.dif","difference"
"1-2",10.1229508196722,98.6576086553021,FALSE
"1-3",1.35245901639337,98.6576086553021,FALSE
"1-4",371.319672131148,98.6576086553021,TRUE
"1-5",37.1147540983607,98.6576086553021,FALSE
"1-6",374.237704918033,98.6576086553021,TRUE
"1-7",555.983606557377,98.6576086553021,TRUE
"1-8",NA,Inf,NA
"2-3",11.4754098360655,98.6576086553021,FALSE
"2-4",381.44262295082,98.6576086553021,TRUE
"2-5",47.2377049180328,98.6576086553021,FALSE
"2-6",384.360655737705,98.6576086553021,TRUE
"2-7",566.106557377049,98.6576086553021,TRUE
"2-8",NA,Inf,NA
"3-4",369.967213114754,98.6576086553021,TRUE
"3-5",35.7622950819673,98.6576086553021,FALSE
"3-6",372.885245901639,98.6576086553021,TRUE
"3-7",554.631147540984,98.6576086553021,TRUE
"3-8",NA,Inf,NA
"4-5",334.204918032787,98.6576086553021,TRUE
"4-6",2.91803278688525,98.6576086553021,FALSE
"4-7",184.66393442623,98.6576086553021,TRUE
"4-8",NA,Inf,NA
"5-6",337.122950819672,98.6576086553021,TRUE
"5-7",518.868852459016,98.6576086553021,TRUE
"5-8",NA,Inf,NA
"6-7",181.745901639344,98.6576086553021,TRUE
"6-8",NA,Inf,NA
"7-8",NA,Inf,NA
