"","obs.dif","critical.dif"
"1-2","\textbf{195.262295081967}","\textbf{112.74331037508}"
"1-3","\textbf{258.385245901639}","\textbf{112.74331037508}"
"1-4","\textbf{304.844262295082}","\textbf{112.74331037508}"
"1-5","78.672131147541","112.74331037508"
"1-6","\textbf{388.008196721311}","\textbf{112.74331037508}"
"1-7","\textbf{129.786885245902}","\textbf{112.74331037508}"
"1-8","\textbf{458.66393442623}","\textbf{112.74331037508}"
"2-3","\textbf{453.647540983607}","\textbf{112.74331037508}"
"2-4","109.581967213115","112.74331037508"
"2-5","\textbf{273.934426229508}","\textbf{112.74331037508}"
"2-6","\textbf{583.270491803279}","\textbf{112.74331037508}"
"2-7","65.4754098360656","112.74331037508"
"2-8","\textbf{653.926229508197}","\textbf{112.74331037508}"
"3-4","\textbf{563.229508196721}","\textbf{112.74331037508}"
"3-5","\textbf{179.713114754098}","\textbf{112.74331037508}"
"3-6","\textbf{129.622950819672}","\textbf{112.74331037508}"
"3-7","\textbf{388.172131147541}","\textbf{112.74331037508}"
"3-8","\textbf{200.27868852459}","\textbf{112.74331037508}"
"4-5","\textbf{383.516393442623}","\textbf{112.74331037508}"
"4-6","\textbf{692.852459016393}","\textbf{112.74331037508}"
"4-7","\textbf{175.05737704918}","\textbf{112.74331037508}"
"4-8","\textbf{763.508196721311}","\textbf{112.74331037508}"
"5-6","\textbf{309.33606557377}","\textbf{112.74331037508}"
"5-7","\textbf{208.459016393443}","\textbf{112.74331037508}"
"5-8","\textbf{379.991803278689}","\textbf{112.74331037508}"
"6-7","\textbf{517.795081967213}","\textbf{112.74331037508}"
"6-8","70.655737704918","112.74331037508"
"7-8","\textbf{588.450819672131}","\textbf{112.74331037508}"
